location_name,location_id,ihme_loc_id,level,region_name,super_region_name
Viken,60136,NOR_60136,4,Western Europe,High-income
Portugal,91,PRT,3,Western Europe,High-income
San Marino,396,SMR,3,Western Europe,High-income
Spain,92,ESP,3,Western Europe,High-income
Sweden,93,SWE,3,Western Europe,High-income
Stockholm,4944,SWE_4944,4,Western Europe,High-income
Sweden except Stockholm,4940,SWE_4940,4,Western Europe,High-income
Switzerland,94,CHE,3,Western Europe,High-income
United Kingdom,95,GBR,3,Western Europe,High-income
England,4749,GBR_4749,4,Western Europe,High-income
East Midlands,4621,GBR_4621,5,Western Europe,High-income
Derby,44697,GBR_44697,6,Western Europe,High-income
Derbyshire,44698,GBR_44698,6,Western Europe,High-income
Leicester,44701,GBR_44701,6,Western Europe,High-income
Leicestershire,44694,GBR_44694,6,Western Europe,High-income
Lincolnshire,44695,GBR_44695,6,Western Europe,High-income
Northamptonshire,44693,GBR_44693,6,Western Europe,High-income
Nottingham,44700,GBR_44700,6,Western Europe,High-income
Nottinghamshire,44699,GBR_44699,6,Western Europe,High-income
Rutland,44696,GBR_44696,6,Western Europe,High-income
East of England,4623,GBR_4623,5,Western Europe,High-income
Bedford,44716,GBR_44716,6,Western Europe,High-income
Cambridgeshire,44721,GBR_44721,6,Western Europe,High-income
Central Bedfordshire,44717,GBR_44717,6,Western Europe,High-income
Essex,44720,GBR_44720,6,Western Europe,High-income
Hertfordshire,44719,GBR_44719,6,Western Europe,High-income
Luton,44726,GBR_44726,6,Western Europe,High-income
Norfolk,44723,GBR_44723,6,Western Europe,High-income
Peterborough,44725,GBR_44725,6,Western Europe,High-income
Southend-on-Sea,44724,GBR_44724,6,Western Europe,High-income
Suffolk,44718,GBR_44718,6,Western Europe,High-income
Thurrock,44722,GBR_44722,6,Western Europe,High-income
Greater London,4624,GBR_4624,5,Western Europe,High-income
Barking and Dagenham,44754,GBR_44754,6,Western Europe,High-income
Barnet,44729,GBR_44729,6,Western Europe,High-income
Bexley,44732,GBR_44732,6,Western Europe,High-income
Brent,44735,GBR_44735,6,Western Europe,High-income
Bromley,44731,GBR_44731,6,Western Europe,High-income
Camden,44748,GBR_44748,6,Western Europe,High-income
Croydon,44742,GBR_44742,6,Western Europe,High-income
Ealing,44744,GBR_44744,6,Western Europe,High-income
Enfield,44741,GBR_44741,6,Western Europe,High-income
Greenwich,44745,GBR_44745,6,Western Europe,High-income
Hackney,44756,GBR_44756,6,Western Europe,High-income
Hammersmith and Fulham,44743,GBR_44743,6,Western Europe,High-income
Haringey,44755,GBR_44755,6,Western Europe,High-income
Harrow,44740,GBR_44740,6,Western Europe,High-income
Havering,44737,GBR_44737,6,Western Europe,High-income
Hillingdon,44736,GBR_44736,6,Western Europe,High-income
Hounslow,44751,GBR_44751,6,Western Europe,High-income
Islington,44757,GBR_44757,6,Western Europe,High-income
Kensington and Chelsea,44728,GBR_44728,6,Western Europe,High-income
Kingston upon Thames,44738,GBR_44738,6,Western Europe,High-income
Lambeth,44749,GBR_44749,6,Western Europe,High-income
Lewisham,44750,GBR_44750,6,Western Europe,High-income
